SiteID,Samp_Date,AirTemperature_C
Met_Station01,2015-10-02 17:00:00.000,9.6
Met_Station01,2015-10-02 17:15:00.000,9.82
Met_Station01,2015-10-02 17:30:00.000,10.16
Met_Station01,2015-10-02 17:45:00.000,9.76
Met_Station01,2015-10-02 18:00:00.000,10.09
Met_Station01,2015-10-02 18:15:00.000,10.23
Met_Station01,2015-10-02 18:30:00.000,9.84
Met_Station01,2015-10-02 18:45:00.000,9.09
Met_Station01,2015-10-02 19:00:00.000,8.48
Met_Station01,2015-10-02 19:15:00.000,8.13
Met_Station01,2015-10-02 19:30:00.000,7.498
Met_Station01,2015-10-02 19:45:00.000,6.752
Met_Station01,2015-10-02 20:00:00.000,5.89
Met_Station01,2015-10-02 20:15:00.000,5.233
Met_Station01,2015-10-02 20:30:00.000,4.698
Met_Station01,2015-10-02 20:45:00.000,4.045
Met_Station01,2015-10-02 21:00:00.000,3.616
Met_Station01,2015-10-02 21:15:00.000,3.012
Met_Station01,2015-10-02 21:30:00.000,2.144
Met_Station01,2015-10-02 21:45:00.000,2.057
Met_Station01,2015-10-02 22:00:00.000,1.868
Met_Station01,2015-10-02 22:15:00.000,1.623
Met_Station01,2015-10-02 22:30:00.000,1.669
Met_Station01,2015-10-02 22:45:00.000,1.694
Met_Station01,2015-10-02 23:00:00.000,2.766
Met_Station01,2015-10-02 23:15:00.000,3.906
Met_Station01,2015-10-02 23:30:00.000,3.969
Met_Station01,2015-10-02 23:45:00.000,3.926
Met_Station01,2015-10-03 00:00:00.000,3.714
Met_Station01,2015-10-03 00:15:00.000,3.871
Met_Station01,2015-10-03 00:30:00.000,3.816
Met_Station01,2015-10-03 00:45:00.000,3.219
Met_Station01,2015-10-03 01:00:00.000,2.939
Met_Station01,2015-10-03 01:15:00.000,2.64
Met_Station01,2015-10-03 01:30:00.000,2.335
Met_Station01,2015-10-03 01:45:00.000,2.057
Met_Station01,2015-10-03 02:00:00.000,1.715
Met_Station01,2015-10-03 02:15:00.000,1.361
Met_Station01,2015-10-03 02:30:00.000,1.088
Met_Station01,2015-10-03 02:45:00.000,0.939
Met_Station01,2015-10-03 03:00:00.000,0.873
Met_Station01,2015-10-03 03:15:00.000,0.922
Met_Station01,2015-10-03 03:30:00.000,0.93
Met_Station01,2015-10-03 03:45:00.000,0.477
Met_Station01,2015-10-03 04:00:00.000,-0.082
Met_Station01,2015-10-03 04:15:00.000,-0.194
Met_Station01,2015-10-03 04:30:00.000,-0.372
Met_Station01,2015-10-03 04:45:00.000,-0.991
Met_Station01,2015-10-03 05:00:00.000,-1.092
Met_Station01,2015-10-03 05:15:00.000,-1.16
Met_Station01,2015-10-03 05:30:00.000,-1.359
Met_Station01,2015-10-03 05:45:00.000,-1.319
Met_Station01,2015-10-03 06:00:00.000,-1.31
Met_Station01,2015-10-03 06:15:00.000,-1.881
Met_Station01,2015-10-03 06:30:00.000,-2.143
Met_Station01,2015-10-03 06:45:00.000,-2.522
Met_Station01,2015-10-03 07:00:00.000,-2.475
Met_Station01,2015-10-03 07:15:00.000,-2.328
Met_Station01,2015-10-03 07:30:00.000,-1.522
Met_Station01,2015-10-03 07:45:00.000,-0.546
Met_Station01,2015-10-03 08:00:00.000,-0.002
Met_Station01,2015-10-03 08:15:00.000,0.831
Met_Station01,2015-10-03 08:30:00.000,1.185
Met_Station01,2015-10-03 08:45:00.000,2.219
